,State,County,Year,MME,Population,fips,_merge,Prescription Rate Per Capita
72,WA,Douglas,2006,7521936.961725,35370,53017.0,both,212.66431896310434
73,WA,Douglas,2007,7928564.3857125,36322,53017.0,both,218.28545745588073
74,WA,Douglas,2008,8470734.5713875,36993,53017.0,both,228.98209313620143
75,WA,Douglas,2009,9158175.6436125,37565,53017.0,both,243.7954384031013
76,WA,Douglas,2010,9788496.6811125,38431,53017.0,both,254.7031480084437
77,WA,Douglas,2011,9181113.766575,38660,53017.0,both,237.48354284984478
78,WA,Douglas,2012,9132355.4775,39192,53017.0,both,233.01580622320878
79,WA,Douglas,2013,9125214.075,39379,53017.0,both,231.72792795652504
80,WA,Douglas,2014,9225473.25,39757,53017.0,both,232.0465138214654
81,WA,Ferry,2006,1518199.9725,7501,53019.0,both,202.39967637648311
82,WA,Ferry,2007,1986344.712,7362,53019.0,both,269.81047432762836
83,WA,Ferry,2008,2288684.55,7393,53019.0,both,309.574536723928
84,WA,Ferry,2009,2213082.9413625,7520,53019.0,both,294.2929443301197
85,WA,Ferry,2010,2345338.35,7551,53019.0,both,310.5997020262217
86,WA,Ferry,2011,2603529.975,7641,53019.0,both,340.73157636435025
87,WA,Ferry,2012,2851485.0,7668,53019.0,both,371.86815336463224
88,WA,Ferry,2013,2776689.8625,7598,53019.0,both,365.45010035535665
89,WA,Ferry,2014,2556755.265,7597,53019.0,both,336.54801434776886
90,WA,Franklin,2006,12031287.516225,66143,53021.0,both,181.89812249557778
91,WA,Franklin,2007,12276141.5955,69518,53021.0,both,176.58939548749964
92,WA,Franklin,2008,12449338.1188625,73186,53021.0,both,170.10545895201952
93,WA,Franklin,2009,14234296.5,77355,53021.0,both,184.01262361838278
94,WA,Franklin,2010,14792459.865,78163,53021.0,both,189.25143437432033
95,WA,Franklin,2011,16504526.8838625,83048,53021.0,both,198.7347905291217
96,WA,Franklin,2012,19072055.182725,85691,53021.0,both,222.56777471058805
97,WA,Franklin,2013,20929136.5125,86441,53021.0,both,242.12048116634466
98,WA,Franklin,2014,24426061.4925,87640,53021.0,both,278.70905399931536
99,WA,Garfield,2006,778398.7875,2147,53023.0,both,362.5518339543549
100,WA,Garfield,2007,1074698.0625,2091,53023.0,both,513.9636836441894
101,WA,Garfield,2008,1011766.5,2117,53023.0,both,477.9246575342466
102,WA,Garfield,2009,826459.05,2101,53023.0,both,393.3646120894812
103,WA,Garfield,2010,786099.825,2266,53023.0,both,346.91077890556045
104,WA,Garfield,2011,880984.125,2237,53023.0,both,393.8239271345552
105,WA,Garfield,2012,872555.3925,2209,53023.0,both,395.00017768220914
