County,Year,Population,State,fips,Deaths,_merge,drug_mortality_per_capita
Henry County,2009.0,16647,AL,1067.0,202.0,both,0.012134318495825074
Houston County,2009.0,100085,AL,1069.0,979.0,both,0.009781685567267823
Jackson County,2009.0,52838,AL,1071.0,620.0,both,0.011733979333055755
Jefferson County,2009.0,665027,AL,1073.0,6801.0,both,0.010226652451704968
Lamar County,2009.0,14200,AL,1075.0,195.0,both,0.013732394366197184
Lauderdale County,2009.0,89599,AL,1077.0,1013.0,both,0.011305929753680286
Lawrence County,2009.0,34106,AL,1079.0,382.0,both,0.011200375300533631
Lee County,2009.0,135883,AL,1081.0,819.0,both,0.006027244026110698
Limestone County,2009.0,78572,AL,1083.0,622.0,both,0.00791630606322863
Lowndes County,2009.0,12293,AL,1085.0,141.0,both,0.011469942243553242
Macon County,2009.0,21789,AL,1087.0,271.0,both,0.012437468447381706
Madison County,2009.0,327744,AL,1089.0,2502.0,both,0.007634007029876978
Marengo County,2009.0,20943,AL,1091.0,232.0,both,0.011077687055340686
Marion County,2009.0,29116,AL,1093.0,391.0,both,0.01342904245088611
Marshall County,2009.0,90399,AL,1095.0,1037.0,both,0.01147136583369285
Mobile County,2009.0,411721,AL,1097.0,4060.0,both,0.009861046679669
Monroe County,2009.0,22389,AL,1099.0,242.0,both,0.010808879360400196
Montgomery County,2009.0,224119,AL,1101.0,2011.0,both,0.008972911712081528
Morgan County,2009.0,117293,AL,1103.0,1119.0,both,0.009540211265804439
Perry County,2009.0,10623,AL,1105.0,139.0,both,0.013084815965358185
Pickens County,2009.0,19218,AL,1107.0,243.0,both,0.012644395878863566
Pike County,2009.0,30461,AL,1109.0,309.0,both,0.0101441187091691
Randolph County,2009.0,22577,AL,1111.0,264.0,both,0.011693316206759091
Russell County,2009.0,50846,AL,1113.0,555.0,both,0.010915312905636628
St. Clair County,2009.0,81895,AL,1115.0,745.0,both,0.009097014469747847
Shelby County,2009.0,192503,AL,1117.0,1130.0,both,0.0058700383890121196
Sumter County,2009.0,12853,AL,1119.0,150.0,both,0.011670427137633237
Talladega County,2009.0,80242,AL,1121.0,932.0,both,0.011614865033274345
Tallapoosa County,2009.0,41008,AL,1123.0,511.0,both,0.012460983222785799
Tuscaloosa County,2009.0,184035,AL,1125.0,1592.0,both,0.008650528432091721
Walker County,2009.0,68742,AL,1127.0,902.0,both,0.013121526868581071
Washington County,2009.0,17069,AL,1129.0,207.0,both,0.012127248227781358
Wilcox County,2009.0,12384,AL,1131.0,124.0,both,0.010012919896640826
Winston County,2009.0,23997,AL,1133.0,289.0,both,0.012043172063174564
Autauga County,2010.0,54571,AL,1001.0,429.0,both,0.007861318282604314
Baldwin County,2010.0,182265,AL,1003.0,1795.0,both,0.009848297808136505
Barbour County,2010.0,27457,AL,1005.0,281.0,both,0.010234184361000837
Bibb County,2010.0,22915,AL,1007.0,224.0,both,0.009775256382282348
Blount County,2010.0,57322,AL,1009.0,531.0,both,0.00926345905585988
Bullock County,2010.0,10914,AL,1011.0,132.0,both,0.012094557449147883
Butler County,2010.0,20947,AL,1013.0,267.0,both,0.012746455339666778
Calhoun County,2010.0,118572,AL,1015.0,1376.0,both,0.01160476335053807
Chambers County,2010.0,34215,AL,1017.0,438.0,both,0.012801402893467777
Cherokee County,2010.0,25989,AL,1019.0,302.0,both,0.011620300896533148
Chilton County,2010.0,43643,AL,1021.0,455.0,both,0.010425497788877941
Choctaw County,2010.0,13859,AL,1023.0,156.0,both,0.011256223392741179
Clarke County,2010.0,25833,AL,1025.0,312.0,both,0.01207757519451864
Clay County,2010.0,13932,AL,1027.0,175.0,both,0.012561010623026126
Cleburne County,2010.0,14972,AL,1029.0,181.0,both,0.012089233235372695
Coffee County,2010.0,49948,AL,1031.0,505.0,both,0.010110514935532954
Colbert County,2010.0,54428,AL,1033.0,690.0,both,0.012677298449327553
Conecuh County,2010.0,13228,AL,1035.0,164.0,both,0.012397943755669792
Coosa County,2010.0,11539,AL,1037.0,145.0,both,0.012566080249588352
Covington County,2010.0,37765,AL,1039.0,475.0,both,0.012577783662121011
Crenshaw County,2010.0,13906,AL,1041.0,167.0,both,0.012009204659859054
Cullman County,2010.0,80406,AL,1043.0,902.0,both,0.011218068303360446
Dale County,2010.0,50251,AL,1045.0,440.0,both,0.008756044655827746
Dallas County,2010.0,43820,AL,1047.0,513.0,both,0.011706983112733911
DeKalb County,2010.0,71109,AL,1049.0,735.0,both,0.010336244357254356
Elmore County,2010.0,79303,AL,1051.0,709.0,both,0.008940393175541909
Escambia County,2010.0,38319,AL,1053.0,406.0,both,0.01059526605600355
Etowah County,2010.0,104430,AL,1055.0,1364.0,both,0.013061380829263622
Fayette County,2010.0,17241,AL,1057.0,248.0,both,0.014384316454962008
Franklin County,2010.0,31704,AL,1059.0,391.0,both,0.012332828665152663
Geneva County,2010.0,26790,AL,1061.0,328.0,both,0.012243374393430385
Greene County,2010.0,9045,AL,1063.0,90.0,both,0.009950248756218905
Hale County,2010.0,15760,AL,1065.0,197.0,both,0.0125
Henry County,2010.0,17302,AL,1067.0,206.0,both,0.01190613801872616
Houston County,2010.0,101547,AL,1069.0,976.0,both,0.009611312988074487
