,State,County,Year,MME,Population,fips,_merge,Prescription Rate Per Capita
72,FL,Citrus,2006,49646891.0293375,136796,12017.0,both,362.9264819829345
73,FL,Citrus,2007,58420509.5731125,139838,12017.0,both,417.77277687833424
74,FL,Citrus,2008,71761417.6846625,140865,12017.0,both,509.4339806528414
75,FL,Citrus,2009,81649551.25245,140357,12017.0,both,581.7276748038929
76,FL,Citrus,2010,111738273.3277875,141236,12017.0,both,791.1458362442119
77,FL,Citrus,2011,148717253.4045375,139782,12017.0,both,1063.9227754971134
78,FL,Citrus,2012,101576393.30385,139215,12017.0,both,729.6368444768882
79,FL,Citrus,2013,77398689.5368125,138888,12017.0,both,557.2741312194898
80,FL,Citrus,2014,73705624.816575,138907,12017.0,both,530.6113069649118
81,FL,Clay,2006,69327289.9772,176720,12019.0,both,392.3001922657311
82,FL,Clay,2007,85815940.69482501,182392,12019.0,both,470.5027670886059
83,FL,Clay,2008,98532925.9160125,185102,12019.0,both,532.3169167054516
84,FL,Clay,2009,125011367.1661125,186756,12019.0,both,669.3834049032561
85,FL,Clay,2010,144996735.7280625,190865,12019.0,both,759.6821613604511
86,FL,Clay,2011,149491520.33715,192335,12019.0,both,777.2455368869421
87,FL,Clay,2012,134424406.2445125,193909,12019.0,both,693.2344875406118
88,FL,Clay,2013,108168341.2847625,195732,12019.0,both,552.6349359571378
89,FL,Clay,2014,95418837.420675,198687,12019.0,both,480.2470087155928
90,FL,Collier,2006,107528680.73415,311650,12021.0,both,345.0302606582705
91,FL,Collier,2007,129910312.756925,313463,12021.0,both,414.43587522905415
92,FL,Collier,2008,147472347.386,315533,12021.0,both,467.3753534051906
93,FL,Collier,2009,202995696.267675,318537,12021.0,both,637.275092901845
94,FL,Collier,2010,237663779.7535875,321520,12021.0,both,739.1881679322827
95,FL,Collier,2011,198903375.2560875,327670,12021.0,both,607.0234542560733
96,FL,Collier,2012,141917084.2426875,332330,12021.0,both,427.0366329933725
97,FL,Collier,2013,121062513.3206625,339133,12021.0,both,356.97650573864087
98,FL,Collier,2014,110104553.5518,347401,12021.0,both,316.937929228183
99,FL,Columbia,2006,27550681.7085875,66975,12023.0,both,411.3576962835013
100,FL,Columbia,2007,30011436.1680125,67927,12023.0,both,441.8189551726486
101,FL,Columbia,2008,37731017.1378125,68901,12023.0,both,547.6120395612909
102,FL,Columbia,2009,40150096.770225,69264,12023.0,both,579.6676017877253
103,FL,Columbia,2010,54609827.27295,67531,12023.0,both,808.6630921051074
104,FL,Columbia,2011,50996453.025,67326,12023.0,both,757.4555598877105
105,FL,Columbia,2012,49737844.83,67903,12023.0,both,732.4837611003932
106,FL,Columbia,2013,43371389.460225,67444,12023.0,both,643.0726152100261
107,FL,Columbia,2014,43490019.1088625,67821,12023.0,both,641.2470932139381
108,FL,Dixie,2006,2952746.125,14859,12029.0,both,198.71768793323912
109,FL,Dixie,2007,3098699.7413625,14871,12029.0,both,208.3719818009885
110,FL,Dixie,2008,3247389.765,14846,12029.0,both,218.73836487942881
111,FL,Dixie,2009,2874669.0413625,14824,12029.0,both,193.9199299354088
112,FL,Dixie,2010,2657110.35,16422,12029.0,both,161.8018724881257
113,FL,Dixie,2011,2559382.17,16403,12029.0,both,156.03134609522647
114,FL,Dixie,2012,3326242.5943125,16152,12029.0,both,205.9337911288076
115,FL,Dixie,2013,3489151.2865875,16084,12029.0,both,216.933056863187
116,FL,Dixie,2014,3425045.46,16041,12029.0,both,213.51820086029548
117,FL,Duval,2006,293452975.4726625,842100,12031.0,both,348.47758635870144
118,FL,Duval,2007,344954365.4414875,848841,12031.0,both,406.38278009837825
119,FL,Duval,2008,408809255.0861,853116,12031.0,both,479.1953908801382
120,FL,Duval,2009,534398118.6508125,857040,12031.0,both,623.5392964748582
121,FL,Duval,2010,765000296.9472001,864263,12031.0,both,885.1475730734742
122,FL,Duval,2011,659029698.1377751,872483,12031.0,both,755.3496149928137
123,FL,Duval,2012,555328079.6860125,880349,12031.0,both,630.804464690722
124,FL,Duval,2013,479245856.25675,886277,12031.0,both,540.7404866162046
125,FL,Duval,2014,458931816.8174625,897094,12031.0,both,511.57606317449734
126,FL,Escambia,2006,96186447.3270125,305287,12033.0,both,315.06892637751525
127,FL,Escambia,2007,113832921.20252752,302580,12033.0,both,376.2076845876381
128,FL,Escambia,2008,116136843.9933875,302776,12033.0,both,383.57348004263054
129,FL,Escambia,2009,127790391.844725,303343,12033.0,both,421.27358087948295
130,FL,Escambia,2010,156708207.4941,297619,12033.0,both,526.5396614265219
131,FL,Escambia,2011,146310743.824275,299478,12033.0,both,488.55256087016403
132,FL,Escambia,2012,129016234.284,303556,12033.0,both,425.01625493813333
133,FL,Escambia,2013,120867662.35995,306879,12033.0,both,393.86097569384026
134,FL,Escambia,2014,128874831.8788125,308200,12033.0,both,418.15325074241565
135,FL,Flagler,2006,21015019.383675,82285,12035.0,both,255.39307751929272
136,FL,Flagler,2007,24313087.5877625,88088,12035.0,both,276.00907714742647
137,FL,Flagler,2008,30727470.41245,90700,12035.0,both,338.78137169184123
138,FL,Flagler,2009,45094206.1172625,91622,12035.0,both,492.1766182495743
139,FL,Flagler,2010,54742939.0545375,95696,12035.0,both,572.0504415496729
140,FL,Flagler,2011,58500274.695675,97473,12035.0,both,600.1690180426888
141,FL,Flagler,2012,54252292.179525,98461,12035.0,both,551.0028557451682
142,FL,Flagler,2013,48704706.1397625,99845,12035.0,both,487.80315628987427
143,FL,Flagler,2014,50287446.56385,101961,12035.0,both,493.20275952422986
144,FL,Franklin,2006,2174577.223,11134,12037.0,both,195.30961226872645
145,FL,Franklin,2007,2099076.5175,11272,12037.0,both,186.22041496628816
146,FL,Franklin,2008,2152977.9473625,11247,12037.0,both,191.42686470725525
147,FL,Franklin,2009,1955352.12,11280,12037.0,both,173.3468191489362
148,FL,Franklin,2010,2736876.3675,11549,12037.0,both,236.97951056368518
149,FL,Franklin,2011,2695184.8163625,11471,12037.0,both,234.95639581226573
150,FL,Franklin,2012,2741930.6925,11609,12037.0,both,236.1900846326126
151,FL,Franklin,2013,3648692.2463625,11520,12037.0,both,316.72675749674477
152,FL,Franklin,2014,3280546.59,11656,12037.0,both,281.44703071379547
153,FL,Gadsden,2006,6021017.100225001,46109,12039.0,both,130.5822529273027
154,FL,Gadsden,2007,7138511.4675,46728,12039.0,both,152.76732296481768
155,FL,Gadsden,2008,6724820.6235,47450,12039.0,both,141.72435455216015
156,FL,Gadsden,2009,7168381.8568125,47474,12039.0,both,150.99595266487972
157,FL,Gadsden,2010,8384369.197500001,46389,12039.0,both,180.74045996895816
158,FL,Gadsden,2011,10053993.885,47372,12039.0,both,212.2349464873765
159,FL,Gadsden,2012,8671229.3588625,46571,12039.0,both,186.19375488742995
160,FL,Gadsden,2013,7827745.4625,46084,12039.0,both,169.85820376920407
161,FL,Gadsden,2014,8248802.7525,46113,12039.0,both,178.88237053542386
162,FL,Gilchrist,2006,4032605.95,16558,12041.0,both,243.5442656117889
163,FL,Gilchrist,2007,4195956.2895,16918,12041.0,both,248.01727683532332
164,FL,Gilchrist,2008,4955842.2,17046,12041.0,both,290.7334389299543
165,FL,Gilchrist,2009,6117871.9913625,17116,12041.0,both,357.43584899290136
166,FL,Gilchrist,2010,5760958.282725,16939,12041.0,both,340.10025873575773
167,FL,Gilchrist,2011,5709070.005,17002,12041.0,both,335.78814286554524
168,FL,Gilchrist,2012,5469281.2125,16908,12041.0,both,323.4729839425124
169,FL,Gilchrist,2013,5425277.6893125,16972,12041.0,both,319.66048134059037
170,FL,Gilchrist,2014,5756225.8988625,17007,12041.0,both,338.4621566920974
171,FL,Glades,2009,2627311.2,10950,12043.0,both,239.93709589041097
172,FL,Glades,2010,6489442.05,12884,12043.0,both,503.6822454206768
173,FL,Glades,2011,4646468.1,12842,12043.0,both,361.8181046565955
174,FL,Glades,2012,1898209.5,12676,12043.0,both,149.74830388135058
175,FL,Glades,2013,922494.225,12680,12043.0,both,72.75191048895898
176,FL,Glades,2014,924516.6,12956,12043.0,both,71.35818153751157
177,FL,Gulf,2006,3543341.616,15713,12045.0,both,225.50382587666263
178,FL,Gulf,2007,3813947.766,15763,12045.0,both,241.95570424411596
179,FL,Gulf,2008,3573714.215,15683,12045.0,both,227.8718494548237
180,FL,Gulf,2009,3494621.7075,15755,12045.0,both,221.8103273563948
