County,Year,Population,State,fips,_merge
Autauga County,2003,45762,AL,1001.0,both
Baldwin County,2003,151707,AL,1003.0,both
Barbour County,2003,29480,AL,1005.0,both
Bibb County,2003,21037,AL,1007.0,both
Blount County,2003,53726,AL,1009.0,both
Bullock County,2003,11305,AL,1011.0,both
Butler County,2003,20536,AL,1013.0,both
Calhoun County,2003,111378,AL,1015.0,both
Chambers County,2003,35626,AL,1017.0,both
Cherokee County,2003,24159,AL,1019.0,both
Chilton County,2003,40776,AL,1021.0,both
Choctaw County,2003,15168,AL,1023.0,both
Clarke County,2003,27076,AL,1025.0,both
Clay County,2003,14066,AL,1027.0,both
Cleburne County,2003,14378,AL,1029.0,both
Coffee County,2003,44186,AL,1031.0,both
Colbert County,2003,54319,AL,1033.0,both
Conecuh County,2003,13436,AL,1035.0,both
Coosa County,2003,11423,AL,1037.0,both
Covington County,2003,36495,AL,1039.0,both
Crenshaw County,2003,13562,AL,1041.0,both
Cullman County,2003,78110,AL,1043.0,both
Dale County,2003,49052,AL,1045.0,both
Dallas County,2003,44504,AL,1047.0,both
DeKalb County,2003,66009,AL,1049.0,both
Elmore County,2003,70151,AL,1051.0,both
Escambia County,2003,38028,AL,1053.0,both
Etowah County,2003,102698,AL,1055.0,both
Fayette County,2003,18145,AL,1057.0,both
Franklin County,2003,30684,AL,1059.0,both
Geneva County,2003,25481,AL,1061.0,both
Greene County,2003,9697,AL,1063.0,both
Hale County,2003,18013,AL,1065.0,both
Henry County,2003,16370,AL,1067.0,both
Houston County,2003,91147,AL,1069.0,both
Jackson County,2003,53483,AL,1071.0,both
Jefferson County,2003,660486,AL,1073.0,both
Lamar County,2003,15065,AL,1075.0,both
Lauderdale County,2003,86944,AL,1077.0,both
Lawrence County,2003,34393,AL,1079.0,both
Lee County,2003,119631,AL,1081.0,both
Limestone County,2003,67685,AL,1083.0,both
Lowndes County,2003,13316,AL,1085.0,both
Macon County,2003,23470,AL,1087.0,both
Madison County,2003,290763,AL,1089.0,both
Marengo County,2003,21930,AL,1091.0,both
Marion County,2003,29972,AL,1093.0,both
Marshall County,2003,83592,AL,1095.0,both
Mobile County,2003,397707,AL,1097.0,both
Monroe County,2003,23532,AL,1099.0,both
Montgomery County,2003,222486,AL,1101.0,both
Morgan County,2003,112287,AL,1103.0,both
Perry County,2003,11241,AL,1105.0,both
Pickens County,2003,20316,AL,1107.0,both
Pike County,2003,29413,AL,1109.0,both
Randolph County,2003,22268,AL,1111.0,both
Russell County,2003,48684,AL,1113.0,both
St. Clair County,2003,68292,AL,1115.0,both
Shelby County,2003,159608,AL,1117.0,both
Sumter County,2003,13996,AL,1119.0,both
Talladega County,2003,79776,AL,1121.0,both
Tallapoosa County,2003,40693,AL,1123.0,both
Tuscaloosa County,2003,167484,AL,1125.0,both
Walker County,2003,69514,AL,1127.0,both
Washington County,2003,17743,AL,1129.0,both
Wilcox County,2003,12781,AL,1131.0,both
Winston County,2003,24350,AL,1133.0,both
Autauga County,2004,46933,AL,1001.0,both
Baldwin County,2004,156573,AL,1003.0,both
Barbour County,2004,29458,AL,1005.0,both
Bibb County,2004,21208,AL,1007.0,both
Blount County,2004,54469,AL,1009.0,both
Bullock County,2004,11038,AL,1011.0,both
Butler County,2004,20476,AL,1013.0,both
Calhoun County,2004,111615,AL,1015.0,both
Chambers County,2004,35387,AL,1017.0,both
Cherokee County,2004,24291,AL,1019.0,both
Chilton County,2004,41170,AL,1021.0,both
Choctaw County,2004,14894,AL,1023.0,both
Clarke County,2004,26944,AL,1025.0,both
Clay County,2004,13939,AL,1027.0,both
Cleburne County,2004,14264,AL,1029.0,both
Coffee County,2004,44712,AL,1031.0,both
Colbert County,2004,54427,AL,1033.0,both
Conecuh County,2004,13238,AL,1035.0,both
Coosa County,2004,11156,AL,1037.0,both
Covington County,2004,36322,AL,1039.0,both
Crenshaw County,2004,13602,AL,1041.0,both
Cullman County,2004,78711,AL,1043.0,both
Dale County,2004,48691,AL,1045.0,both
Dallas County,2004,43927,AL,1047.0,both
DeKalb County,2004,66574,AL,1049.0,both
Elmore County,2004,71276,AL,1051.0,both
Escambia County,2004,37888,AL,1053.0,both
Etowah County,2004,102657,AL,1055.0,both
Fayette County,2004,17998,AL,1057.0,both
Franklin County,2004,30533,AL,1059.0,both
Geneva County,2004,25458,AL,1061.0,both
Greene County,2004,9534,AL,1063.0,both
Hale County,2004,17876,AL,1065.0,both
Henry County,2004,16432,AL,1067.0,both
Houston County,2004,92374,AL,1069.0,both
Jackson County,2004,53217,AL,1071.0,both
Jefferson County,2004,660016,AL,1073.0,both
Lamar County,2004,14828,AL,1075.0,both
Lauderdale County,2004,87203,AL,1077.0,both
Lawrence County,2004,34204,AL,1079.0,both
Lee County,2004,121698,AL,1081.0,both
Limestone County,2004,68407,AL,1083.0,both
Lowndes County,2004,13033,AL,1085.0,both
Macon County,2004,23041,AL,1087.0,both
Madison County,2004,294814,AL,1089.0,both
Marengo County,2004,21649,AL,1091.0,both
Marion County,2004,29712,AL,1093.0,both
Marshall County,2004,84161,AL,1095.0,both
Mobile County,2004,397521,AL,1097.0,both
Monroe County,2004,23351,AL,1099.0,both
Montgomery County,2004,222085,AL,1101.0,both
Morgan County,2004,112210,AL,1103.0,both
Perry County,2004,11078,AL,1105.0,both
Pickens County,2004,20096,AL,1107.0,both
Pike County,2004,29727,AL,1109.0,both
Randolph County,2004,22394,AL,1111.0,both
Russell County,2004,48980,AL,1113.0,both
St. Clair County,2004,69966,AL,1115.0,both
Shelby County,2004,165723,AL,1117.0,both
Sumter County,2004,13869,AL,1119.0,both
Talladega County,2004,79746,AL,1121.0,both
Tallapoosa County,2004,40605,AL,1123.0,both
Tuscaloosa County,2004,169051,AL,1125.0,both
Walker County,2004,69153,AL,1127.0,both
Washington County,2004,17579,AL,1129.0,both
Wilcox County,2004,12721,AL,1131.0,both
Winston County,2004,24307,AL,1133.0,both
Autauga County,2005,47870,AL,1001.0,both
Baldwin County,2005,162564,AL,1003.0,both
Barbour County,2005,29452,AL,1005.0,both
Bibb County,2005,21375,AL,1007.0,both
Blount County,2005,55035,AL,1009.0,both
Bullock County,2005,10975,AL,1011.0,both
Butler County,2005,20338,AL,1013.0,both
Calhoun County,2005,112081,AL,1015.0,both
Chambers County,2005,35173,AL,1017.0,both
Cherokee County,2005,24268,AL,1019.0,both
Chilton County,2005,41510,AL,1021.0,both
Choctaw County,2005,14507,AL,1023.0,both
Clarke County,2005,26740,AL,1025.0,both
Clay County,2005,13847,AL,1027.0,both
Cleburne County,2005,14276,AL,1029.0,both
Coffee County,2005,45159,AL,1031.0,both
Colbert County,2005,54399,AL,1033.0,both
Conecuh County,2005,13176,AL,1035.0,both
Coosa County,2005,10964,AL,1037.0,both
Covington County,2005,36594,AL,1039.0,both
Crenshaw County,2005,13541,AL,1041.0,both
Cullman County,2005,79382,AL,1043.0,both
Dale County,2005,48319,AL,1045.0,both
Dallas County,2005,43358,AL,1047.0,both
DeKalb County,2005,66920,AL,1049.0,both
Elmore County,2005,73241,AL,1051.0,both
Escambia County,2005,37642,AL,1053.0,both
Etowah County,2005,102602,AL,1055.0,both
Fayette County,2005,18012,AL,1057.0,both
Franklin County,2005,30673,AL,1059.0,both
Geneva County,2005,25584,AL,1061.0,both
Greene County,2005,9472,AL,1063.0,both
Hale County,2005,17921,AL,1065.0,both
Henry County,2005,16424,AL,1067.0,both
Houston County,2005,93614,AL,1069.0,both
Jackson County,2005,52923,AL,1071.0,both
Jefferson County,2005,659715,AL,1073.0,both
Lamar County,2005,14707,AL,1075.0,both
Lauderdale County,2005,87437,AL,1077.0,both
Lawrence County,2005,34293,AL,1079.0,both
Lee County,2005,125350,AL,1081.0,both
Limestone County,2005,69792,AL,1083.0,both
Lowndes County,2005,12898,AL,1085.0,both
Macon County,2005,22736,AL,1087.0,both
Madison County,2005,300272,AL,1089.0,both
Marengo County,2005,21405,AL,1091.0,both
Marion County,2005,29493,AL,1093.0,both
Marshall County,2005,85298,AL,1095.0,both
Mobile County,2005,398369,AL,1097.0,both
Monroe County,2005,23169,AL,1099.0,both
Montgomery County,2005,222220,AL,1101.0,both
Morgan County,2005,112951,AL,1103.0,both
Perry County,2005,10787,AL,1105.0,both
Pickens County,2005,19834,AL,1107.0,both
Pike County,2005,29685,AL,1109.0,both
Randolph County,2005,22472,AL,1111.0,both
Russell County,2005,49094,AL,1113.0,both
St. Clair County,2005,72004,AL,1115.0,both
Shelby County,2005,171678,AL,1117.0,both
Sumter County,2005,13640,AL,1119.0,both
Talladega County,2005,79902,AL,1121.0,both
Tallapoosa County,2005,40445,AL,1123.0,both
Tuscaloosa County,2005,172060,AL,1125.0,both
Walker County,2005,69124,AL,1127.0,both
Washington County,2005,17410,AL,1129.0,both
Wilcox County,2005,12642,AL,1131.0,both
Winston County,2005,24236,AL,1133.0,both
Autauga County,2006,49105,AL,1001.0,both
Baldwin County,2006,168516,AL,1003.0,both
Barbour County,2006,29556,AL,1005.0,both
Bibb County,2006,21285,AL,1007.0,both
Blount County,2006,55978,AL,1009.0,both
Bullock County,2006,10739,AL,1011.0,both
Butler County,2006,20231,AL,1013.0,both
Calhoun County,2006,112453,AL,1015.0,both
Chambers County,2006,34822,AL,1017.0,both
Cherokee County,2006,24531,AL,1019.0,both
Chilton County,2006,41821,AL,1021.0,both
Choctaw County,2006,14389,AL,1023.0,both
Clarke County,2006,26729,AL,1025.0,both
Clay County,2006,13777,AL,1027.0,both
Cleburne County,2006,14433,AL,1029.0,both
Coffee County,2006,45639,AL,1031.0,both
Colbert County,2006,54462,AL,1033.0,both
Conecuh County,2006,13309,AL,1035.0,both
Coosa County,2006,10857,AL,1037.0,both
Covington County,2006,36717,AL,1039.0,both
Crenshaw County,2006,13688,AL,1041.0,both
Cullman County,2006,79871,AL,1043.0,both
Dale County,2006,48038,AL,1045.0,both
Dallas County,2006,43050,AL,1047.0,both
DeKalb County,2006,67447,AL,1049.0,both
Elmore County,2006,75511,AL,1051.0,both
Escambia County,2006,37572,AL,1053.0,both
Etowah County,2006,102854,AL,1055.0,both
Fayette County,2006,17758,AL,1057.0,both
Franklin County,2006,30791,AL,1059.0,both
Geneva County,2006,25769,AL,1061.0,both
Greene County,2006,9119,AL,1063.0,both
Hale County,2006,17901,AL,1065.0,both
Henry County,2006,16555,AL,1067.0,both
Houston County,2006,95511,AL,1069.0,both
Jackson County,2006,52998,AL,1071.0,both
Jefferson County,2006,661447,AL,1073.0,both
Lamar County,2006,14456,AL,1075.0,both
Lauderdale County,2006,87992,AL,1077.0,both
Lawrence County,2006,33875,AL,1079.0,both
Lee County,2006,128217,AL,1081.0,both
Limestone County,2006,71795,AL,1083.0,both
Lowndes County,2006,12711,AL,1085.0,both
Macon County,2006,22544,AL,1087.0,both
Madison County,2006,307509,AL,1089.0,both
Marengo County,2006,21335,AL,1091.0,both
Marion County,2006,29585,AL,1093.0,both
Marshall County,2006,86760,AL,1095.0,both
Mobile County,2006,402199,AL,1097.0,both
Monroe County,2006,22986,AL,1099.0,both
Montgomery County,2006,225333,AL,1101.0,both
Morgan County,2006,114297,AL,1103.0,both
Perry County,2006,10554,AL,1105.0,both
Pickens County,2006,19698,AL,1107.0,both
Pike County,2006,29975,AL,1109.0,both
Randolph County,2006,22461,AL,1111.0,both
Russell County,2006,49695,AL,1113.0,both
St. Clair County,2006,75223,AL,1115.0,both
Shelby County,2006,178840,AL,1117.0,both
Sumter County,2006,13471,AL,1119.0,both
Talladega County,2006,80124,AL,1121.0,both
Tallapoosa County,2006,40719,AL,1123.0,both
Tuscaloosa County,2006,176899,AL,1125.0,both
Walker County,2006,68978,AL,1127.0,both
Washington County,2006,17369,AL,1129.0,both
Wilcox County,2006,12538,AL,1131.0,both
Winston County,2006,24321,AL,1133.0,both
Autauga County,2007,49834,AL,1001.0,both
Baldwin County,2007,172815,AL,1003.0,both
Barbour County,2007,29736,AL,1005.0,both
Bibb County,2007,21485,AL,1007.0,both
Blount County,2007,56866,AL,1009.0,both
Bullock County,2007,10966,AL,1011.0,both
Butler County,2007,20243,AL,1013.0,both
Calhoun County,2007,112808,AL,1015.0,both
Chambers County,2007,34731,AL,1017.0,both
Cherokee County,2007,24474,AL,1019.0,both
Chilton County,2007,42362,AL,1021.0,both
Choctaw County,2007,14178,AL,1023.0,both
Clarke County,2007,26416,AL,1025.0,both
Clay County,2007,13772,AL,1027.0,both
Cleburne County,2007,14692,AL,1029.0,both
Coffee County,2007,46806,AL,1031.0,both
Colbert County,2007,54606,AL,1033.0,both
Conecuh County,2007,13118,AL,1035.0,both
Coosa County,2007,10783,AL,1037.0,both
Covington County,2007,36804,AL,1039.0,both
Crenshaw County,2007,13741,AL,1041.0,both
Cullman County,2007,80602,AL,1043.0,both
Dale County,2007,48263,AL,1045.0,both
Dallas County,2007,42780,AL,1047.0,both
DeKalb County,2007,68275,AL,1049.0,both
Elmore County,2007,77459,AL,1051.0,both
Escambia County,2007,37623,AL,1053.0,both
Etowah County,2007,103216,AL,1055.0,both
Fayette County,2007,17538,AL,1057.0,both
Franklin County,2007,30627,AL,1059.0,both
Geneva County,2007,25717,AL,1061.0,both
Greene County,2007,9100,AL,1063.0,both
Hale County,2007,18091,AL,1065.0,both
Henry County,2007,16653,AL,1067.0,both
Houston County,2007,97392,AL,1069.0,both
Jackson County,2007,52796,AL,1071.0,both
Jefferson County,2007,661477,AL,1073.0,both
Lamar County,2007,14484,AL,1075.0,both
Lauderdale County,2007,88522,AL,1077.0,both
Lawrence County,2007,34151,AL,1079.0,both
Lee County,2007,130791,AL,1081.0,both
Limestone County,2007,73909,AL,1083.0,both
Lowndes County,2007,12664,AL,1085.0,both
Macon County,2007,22258,AL,1087.0,both
Madison County,2007,313796,AL,1089.0,both
Marengo County,2007,21265,AL,1091.0,both
Marion County,2007,29501,AL,1093.0,both
Marshall County,2007,87970,AL,1095.0,both
Mobile County,2007,405234,AL,1097.0,both
Monroe County,2007,22759,AL,1099.0,both
Montgomery County,2007,225648,AL,1101.0,both
Morgan County,2007,115148,AL,1103.0,both
Perry County,2007,10726,AL,1105.0,both
Pickens County,2007,19503,AL,1107.0,both
Pike County,2007,30186,AL,1109.0,both
Randolph County,2007,22389,AL,1111.0,both
Russell County,2007,50227,AL,1113.0,both
St. Clair County,2007,78515,AL,1115.0,both
Shelby County,2007,183478,AL,1117.0,both
Sumter County,2007,13269,AL,1119.0,both
Talladega County,2007,80186,AL,1121.0,both
Tallapoosa County,2007,40797,AL,1123.0,both
Tuscaloosa County,2007,178998,AL,1125.0,both
Walker County,2007,68655,AL,1127.0,both
Washington County,2007,17124,AL,1129.0,both
Wilcox County,2007,12580,AL,1131.0,both
Winston County,2007,24326,AL,1133.0,both
Autauga County,2008,50354,AL,1001.0,both
Baldwin County,2008,176212,AL,1003.0,both
Barbour County,2008,29836,AL,1005.0,both
Bibb County,2008,21589,AL,1007.0,both
Blount County,2008,57794,AL,1009.0,both
Bullock County,2008,10921,AL,1011.0,both
Butler County,2008,20171,AL,1013.0,both
Calhoun County,2008,113422,AL,1015.0,both
Chambers County,2008,34473,AL,1017.0,both
Cherokee County,2008,24413,AL,1019.0,both
Chilton County,2008,42696,AL,1021.0,both
Choctaw County,2008,14083,AL,1023.0,both
Clarke County,2008,26264,AL,1025.0,both
Clay County,2008,13807,AL,1027.0,both
Cleburne County,2008,14736,AL,1029.0,both
Coffee County,2008,47773,AL,1031.0,both
Colbert County,2008,54626,AL,1033.0,both
Conecuh County,2008,13038,AL,1035.0,both
Coosa County,2008,10724,AL,1037.0,both
Covington County,2008,36646,AL,1039.0,both
Crenshaw County,2008,13686,AL,1041.0,both
Cullman County,2008,81518,AL,1043.0,both
Dale County,2008,48400,AL,1045.0,both
Dallas County,2008,42627,AL,1047.0,both
DeKalb County,2008,68894,AL,1049.0,both
Elmore County,2008,78125,AL,1051.0,both
Escambia County,2008,37532,AL,1053.0,both
Etowah County,2008,103435,AL,1055.0,both
Fayette County,2008,17577,AL,1057.0,both
Franklin County,2008,31051,AL,1059.0,both
Geneva County,2008,25971,AL,1061.0,both
Greene County,2008,9039,AL,1063.0,both
Hale County,2008,18083,AL,1065.0,both
Henry County,2008,16623,AL,1067.0,both
Houston County,2008,98852,AL,1069.0,both
Jackson County,2008,52934,AL,1071.0,both
Jefferson County,2008,663394,AL,1073.0,both
Lamar County,2008,14341,AL,1075.0,both
Lauderdale County,2008,89200,AL,1077.0,both
Lawrence County,2008,34047,AL,1079.0,both
Lee County,2008,133105,AL,1081.0,both
Limestone County,2008,76314,AL,1083.0,both
Lowndes County,2008,12592,AL,1085.0,both
Macon County,2008,22195,AL,1087.0,both
Madison County,2008,320914,AL,1089.0,both
Marengo County,2008,21100,AL,1091.0,both
Marion County,2008,29378,AL,1093.0,both
Marshall County,2008,89200,AL,1095.0,both
Mobile County,2008,409132,AL,1097.0,both
Monroe County,2008,22648,AL,1099.0,both
Montgomery County,2008,224525,AL,1101.0,both
Morgan County,2008,116297,AL,1103.0,both
Perry County,2008,10753,AL,1105.0,both
Pickens County,2008,19385,AL,1107.0,both
Pike County,2008,30371,AL,1109.0,both
Randolph County,2008,22620,AL,1111.0,both
Russell County,2008,50285,AL,1113.0,both
St. Clair County,2008,80287,AL,1115.0,both
Shelby County,2008,188483,AL,1117.0,both
Sumter County,2008,13102,AL,1119.0,both
Talladega County,2008,80495,AL,1121.0,both
Tallapoosa County,2008,40920,AL,1123.0,both
Tuscaloosa County,2008,181780,AL,1125.0,both
Walker County,2008,68903,AL,1127.0,both
Washington County,2008,17088,AL,1129.0,both
Wilcox County,2008,12617,AL,1131.0,both
Winston County,2008,24068,AL,1133.0,both
Autauga County,2009,50756,AL,1001.0,both
Baldwin County,2009,179878,AL,1003.0,both
Barbour County,2009,29737,AL,1005.0,both
Bibb County,2009,21587,AL,1007.0,both
Blount County,2009,58345,AL,1009.0,both
Bullock County,2009,10985,AL,1011.0,both
Butler County,2009,19964,AL,1013.0,both
Calhoun County,2009,114081,AL,1015.0,both
Chambers County,2009,34320,AL,1017.0,both
Cherokee County,2009,24448,AL,1019.0,both
Chilton County,2009,42971,AL,1021.0,both
Choctaw County,2009,13990,AL,1023.0,both
Clarke County,2009,26042,AL,1025.0,both
Clay County,2009,13640,AL,1027.0,both
Cleburne County,2009,14759,AL,1029.0,both
Coffee County,2009,48635,AL,1031.0,both
Colbert County,2009,54639,AL,1033.0,both
Conecuh County,2009,12931,AL,1035.0,both
Coosa County,2009,10556,AL,1037.0,both
Covington County,2009,36678,AL,1039.0,both
Crenshaw County,2009,13781,AL,1041.0,both
Cullman County,2009,81778,AL,1043.0,both
Dale County,2009,48147,AL,1045.0,both
Dallas County,2009,41925,AL,1047.0,both
DeKalb County,2009,69380,AL,1049.0,both
Elmore County,2009,79233,AL,1051.0,both
Escambia County,2009,37434,AL,1053.0,both
Etowah County,2009,103645,AL,1055.0,both
Fayette County,2009,17371,AL,1057.0,both
Franklin County,2009,31091,AL,1059.0,both
Geneva County,2009,25961,AL,1061.0,both
Greene County,2009,8829,AL,1063.0,both
Hale County,2009,17975,AL,1065.0,both
Henry County,2009,16647,AL,1067.0,both
Houston County,2009,100085,AL,1069.0,both
Jackson County,2009,52838,AL,1071.0,both
Jefferson County,2009,665027,AL,1073.0,both
Lamar County,2009,14200,AL,1075.0,both
Lauderdale County,2009,89599,AL,1077.0,both
Lawrence County,2009,34106,AL,1079.0,both
Lee County,2009,135883,AL,1081.0,both
Limestone County,2009,78572,AL,1083.0,both
Lowndes County,2009,12293,AL,1085.0,both
Macon County,2009,21789,AL,1087.0,both
Madison County,2009,327744,AL,1089.0,both
Marengo County,2009,20943,AL,1091.0,both
Marion County,2009,29116,AL,1093.0,both
Marshall County,2009,90399,AL,1095.0,both
Mobile County,2009,411721,AL,1097.0,both
Monroe County,2009,22389,AL,1099.0,both
Montgomery County,2009,224119,AL,1101.0,both
Morgan County,2009,117293,AL,1103.0,both
Perry County,2009,10623,AL,1105.0,both
Pickens County,2009,19218,AL,1107.0,both
Pike County,2009,30461,AL,1109.0,both
Randolph County,2009,22577,AL,1111.0,both
Russell County,2009,50846,AL,1113.0,both
St. Clair County,2009,81895,AL,1115.0,both
Shelby County,2009,192503,AL,1117.0,both
Sumter County,2009,12853,AL,1119.0,both
Talladega County,2009,80242,AL,1121.0,both
Tallapoosa County,2009,41008,AL,1123.0,both
Tuscaloosa County,2009,184035,AL,1125.0,both
Walker County,2009,68742,AL,1127.0,both
Washington County,2009,17069,AL,1129.0,both
Wilcox County,2009,12384,AL,1131.0,both
Winston County,2009,23997,AL,1133.0,both
Autauga County,2010,54571,AL,1001.0,both
Baldwin County,2010,182265,AL,1003.0,both
Barbour County,2010,27457,AL,1005.0,both
Bibb County,2010,22915,AL,1007.0,both
Blount County,2010,57322,AL,1009.0,both
Bullock County,2010,10914,AL,1011.0,both
Butler County,2010,20947,AL,1013.0,both
Calhoun County,2010,118572,AL,1015.0,both
Chambers County,2010,34215,AL,1017.0,both
Cherokee County,2010,25989,AL,1019.0,both
Chilton County,2010,43643,AL,1021.0,both
Choctaw County,2010,13859,AL,1023.0,both
Clarke County,2010,25833,AL,1025.0,both
Clay County,2010,13932,AL,1027.0,both
Cleburne County,2010,14972,AL,1029.0,both
Coffee County,2010,49948,AL,1031.0,both
Colbert County,2010,54428,AL,1033.0,both
Conecuh County,2010,13228,AL,1035.0,both
Coosa County,2010,11539,AL,1037.0,both
Covington County,2010,37765,AL,1039.0,both
Crenshaw County,2010,13906,AL,1041.0,both
Cullman County,2010,80406,AL,1043.0,both
Dale County,2010,50251,AL,1045.0,both
Dallas County,2010,43820,AL,1047.0,both
DeKalb County,2010,71109,AL,1049.0,both
Elmore County,2010,79303,AL,1051.0,both
Escambia County,2010,38319,AL,1053.0,both
Etowah County,2010,104430,AL,1055.0,both
Fayette County,2010,17241,AL,1057.0,both
Franklin County,2010,31704,AL,1059.0,both
Geneva County,2010,26790,AL,1061.0,both
Greene County,2010,9045,AL,1063.0,both
Hale County,2010,15760,AL,1065.0,both
Henry County,2010,17302,AL,1067.0,both
Houston County,2010,101547,AL,1069.0,both
Jackson County,2010,53227,AL,1071.0,both
Jefferson County,2010,658466,AL,1073.0,both
Lamar County,2010,14564,AL,1075.0,both
Lauderdale County,2010,92709,AL,1077.0,both
Lawrence County,2010,34339,AL,1079.0,both
Lee County,2010,140247,AL,1081.0,both
Limestone County,2010,82782,AL,1083.0,both
Lowndes County,2010,11299,AL,1085.0,both
Macon County,2010,21452,AL,1087.0,both
Madison County,2010,334811,AL,1089.0,both
Marengo County,2010,21027,AL,1091.0,both
Marion County,2010,30776,AL,1093.0,both
Marshall County,2010,93019,AL,1095.0,both
Mobile County,2010,412992,AL,1097.0,both
Monroe County,2010,23068,AL,1099.0,both
Montgomery County,2010,229363,AL,1101.0,both
Morgan County,2010,119490,AL,1103.0,both
Perry County,2010,10591,AL,1105.0,both
Pickens County,2010,19746,AL,1107.0,both
Pike County,2010,32899,AL,1109.0,both
Randolph County,2010,22913,AL,1111.0,both
Russell County,2010,52947,AL,1113.0,both
St. Clair County,2010,83593,AL,1115.0,both
Shelby County,2010,195085,AL,1117.0,both
Sumter County,2010,13763,AL,1119.0,both
Talladega County,2010,82291,AL,1121.0,both
Tallapoosa County,2010,41616,AL,1123.0,both
Tuscaloosa County,2010,194656,AL,1125.0,both
Walker County,2010,67023,AL,1127.0,both
Washington County,2010,17581,AL,1129.0,both
Wilcox County,2010,11670,AL,1131.0,both
Winston County,2010,24484,AL,1133.0,both
Autauga County,2011,55229,AL,1001.0,both
Baldwin County,2011,186579,AL,1003.0,both
Barbour County,2011,27344,AL,1005.0,both
Bibb County,2011,22736,AL,1007.0,both
Blount County,2011,57561,AL,1009.0,both
Bullock County,2011,10680,AL,1011.0,both
Butler County,2011,20867,AL,1013.0,both
Calhoun County,2011,117767,AL,1015.0,both
Chambers County,2011,34016,AL,1017.0,both
Cherokee County,2011,25993,AL,1019.0,both
Chilton County,2011,43682,AL,1021.0,both
Choctaw County,2011,13608,AL,1023.0,both
Clarke County,2011,25589,AL,1025.0,both
Clay County,2011,13687,AL,1027.0,both
Cleburne County,2011,14928,AL,1029.0,both
Coffee County,2011,50449,AL,1031.0,both
Colbert County,2011,54545,AL,1033.0,both
Conecuh County,2011,13194,AL,1035.0,both
Coosa County,2011,11483,AL,1037.0,both
Covington County,2011,38023,AL,1039.0,both
Crenshaw County,2011,13894,AL,1041.0,both
Cullman County,2011,80419,AL,1043.0,both
Dale County,2011,50134,AL,1045.0,both
Dallas County,2011,43254,AL,1047.0,both
DeKalb County,2011,71335,AL,1049.0,both
Elmore County,2011,80005,AL,1051.0,both
Escambia County,2011,38211,AL,1053.0,both
Etowah County,2011,104356,AL,1055.0,both
Fayette County,2011,17061,AL,1057.0,both
Franklin County,2011,31776,AL,1059.0,both
Geneva County,2011,26758,AL,1061.0,both
Greene County,2011,8903,AL,1063.0,both
Hale County,2011,15360,AL,1065.0,both
Henry County,2011,17377,AL,1067.0,both
Houston County,2011,102509,AL,1069.0,both
Jackson County,2011,53240,AL,1071.0,both
Jefferson County,2011,658175,AL,1073.0,both
Lamar County,2011,14292,AL,1075.0,both
Lauderdale County,2011,92615,AL,1077.0,both
Lawrence County,2011,34026,AL,1079.0,both
Lee County,2011,144194,AL,1081.0,both
Limestone County,2011,85553,AL,1083.0,both
Lowndes County,2011,11144,AL,1085.0,both
Macon County,2011,21299,AL,1087.0,both
Madison County,2011,339623,AL,1089.0,both
Marengo County,2011,20663,AL,1091.0,both
Marion County,2011,30661,AL,1093.0,both
Marshall County,2011,93899,AL,1095.0,both
Mobile County,2011,413126,AL,1097.0,both
Monroe County,2011,22799,AL,1099.0,both
Montgomery County,2011,229218,AL,1101.0,both
Morgan County,2011,120058,AL,1103.0,both
Perry County,2011,10452,AL,1105.0,both
Pickens County,2011,19357,AL,1107.0,both
Pike County,2011,33031,AL,1109.0,both
Randolph County,2011,22751,AL,1111.0,both
Russell County,2011,54884,AL,1113.0,both
St. Clair County,2011,83992,AL,1115.0,both
Shelby County,2011,197968,AL,1117.0,both
Sumter County,2011,13491,AL,1119.0,both
Talladega County,2011,81875,AL,1121.0,both
Tallapoosa County,2011,41414,AL,1123.0,both
Tuscaloosa County,2011,196788,AL,1125.0,both
Walker County,2011,66586,AL,1127.0,both
Washington County,2011,17356,AL,1129.0,both
Wilcox County,2011,11438,AL,1131.0,both
Winston County,2011,24362,AL,1133.0,both
Autauga County,2012,54970,AL,1001.0,both
Baldwin County,2012,190203,AL,1003.0,both
Barbour County,2012,27172,AL,1005.0,both
Bibb County,2012,22657,AL,1007.0,both
Blount County,2012,57585,AL,1009.0,both
Bullock County,2012,10610,AL,1011.0,both
Butler County,2012,20672,AL,1013.0,both
Calhoun County,2012,117227,AL,1015.0,both
Chambers County,2012,34088,AL,1017.0,both
Cherokee County,2012,25961,AL,1019.0,both
Chilton County,2012,43572,AL,1021.0,both
Choctaw County,2012,13565,AL,1023.0,both
Clarke County,2012,25161,AL,1025.0,both
Clay County,2012,13433,AL,1027.0,both
Cleburne County,2012,14889,AL,1029.0,both
Coffee County,2012,51159,AL,1031.0,both
Colbert County,2012,54578,AL,1033.0,both
Conecuh County,2012,13043,AL,1035.0,both
Coosa County,2012,11343,AL,1037.0,both
Covington County,2012,37809,AL,1039.0,both
Crenshaw County,2012,13914,AL,1041.0,both
Cullman County,2012,80292,AL,1043.0,both
Dale County,2012,50313,AL,1045.0,both
Dallas County,2012,42794,AL,1047.0,both
DeKalb County,2012,70913,AL,1049.0,both
Elmore County,2012,80211,AL,1051.0,both
Escambia County,2012,38029,AL,1053.0,both
Etowah County,2012,104271,AL,1055.0,both
Fayette County,2012,16955,AL,1057.0,both
Franklin County,2012,31699,AL,1059.0,both
